V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
0,0.20548707,-0.086568712,0.067686323,0,0,0,0,0.107926343,0.158156855,0,0.139434826,0,-0.059489068,-0.051960012,0,-0.085674062,0,0,0,-0.042036656,0,-0.050029582,-0.07065145,0
0.20548707,0,-0.037456565,0,0.06950103,0,-0.031273874,0.05506334,0.173771334,-0.21567326,-0.053456501,-0.081946413,-0.044625909,-0.063435123,0,0,-0.154759756,0,0,0,0.083815412,0,0,0,-0.099718465
-0.086568712,-0.037456565,0,-0.099958611,-0.098601717,0,0,0,0,-0.036507161,-0.057526793,0,0,0,-0.080817995,0,0,-0.214599681,0,0,0.132529466,0,0.125727658,0,0
0.067686323,0,-0.099958611,0,0.107945253,0,0.039912138,0,-0.293024483,0.127948888,0,0.032233585,0,-0.025153282,0.024312977,0,0,0,0,-0.068322684,0,-0.071439599,0,0,0
0,0.06950103,-0.098601717,0.107945253,0,0,0.16571761,0.203045246,0,-0.033008021,-0.173206026,0,0.228386518,0,0,0,0,0.109467272,0,0,0.05999222,0,-0.042259243,0,0
0,0,0,0,0,0,0,0.506667856,0,0,-0.049760959,0,0.147549361,-0.057858854,0,0,0,0,0,0,0,0,-0.124248853,0,0
0,-0.031273874,0,0.039912138,0.16571761,0,0,0.333154768,0,0.056387548,0,-0.091435391,0,0,0,0,0,0,0,0,0,-0.069873383,0,0,0
0,0.05506334,0,0,0.203045246,0.506667856,0.333154768,0,0,0,0,-0.06075029,0,0,0,0,0,0,0,0,0.128964728,0,0.097826148,0,0
0.107926343,0.173771334,0,-0.293024483,0,0,0,0,0,0.176833923,0.061635374,-0.049669946,0,-0.048189975,0,0,0.063608304,0,0,0,0,0,0,0.160004712,0.208388135
0.158156855,-0.21567326,-0.036507161,0.127948888,-0.033008021,0,0.056387548,0,0.176833923,0,0.180578727,0.04505667,0,0.054114619,0.113165622,0,0.106704385,0,0,0.062978117,-0.144330937,0,0,0,0
0,-0.053456501,-0.057526793,0,-0.173206026,-0.049760959,0,0,0.061635374,0.180578727,0,0.176237011,-0.087805293,0.02592042,0.027807993,0,0,0,0,0,0,0,-0.084511297,-0.042159692,0
0.139434826,-0.081946413,0,0.032233585,0,0,-0.091435391,-0.06075029,-0.049669946,0.04505667,0.176237011,0,-0.09130065,0.059456859,0,0,0,0,0,0,0,0,0.082329515,0,0
0,-0.044625909,0,0,0.228386518,0.147549361,0,0,0,0,-0.087805293,-0.09130065,0,0.123214395,-0.216308397,0,0,0,0,0,-0.278160566,0,0,0,0
-0.059489068,-0.063435123,0,-0.025153282,0,-0.057858854,0,0,-0.048189975,0.054114619,0.02592042,0.059456859,0.123214395,0,0,0,0,0,0,0,0,0,0,0,0
-0.051960012,0,-0.080817995,0.024312977,0,0,0,0,0,0.113165622,0.027807993,0,-0.216308397,0,0,0,0,0,0,-0.037682092,-0.034189214,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692053443,0,0,0,0.091101946,0,0,0,0
-0.085674062,-0.154759756,0,0,0,0,0,0,0.063608304,0.106704385,0,0,0,0,0,0.692053443,0,0,0,0,-0.072456418,0,0.144529682,0,0
0,0,-0.214599681,0,0.109467272,0,0,0,0,0,0,0,0,0,0,0,0,0,1.095959143,0,0,0,0.233207013,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.095959143,0,0,0,0,0,0,0
0,0,0,-0.068322684,0,0,0,0,0,0.062978117,0,0,0,0,-0.037682092,0,0,0,0,0,0.171790102,0.042718344,0,0.143757464,0.075804541
-0.042036656,0.083815412,0.132529466,0,0.05999222,0,0,0.128964728,0,-0.144330937,0,0,-0.278160566,0,-0.034189214,0.091101946,-0.072456418,0,0,0.171790102,0,0.337912182,-0.10763286,0,0.087031728
0,0,0,-0.071439599,0,0,-0.069873383,0,0,0,0,0,0,0,0,0,0,0,0,0.042718344,0.337912182,0,0.1734888,0,0
-0.050029582,0,0.125727658,0,-0.042259243,-0.124248853,0,0.097826148,0,0,-0.084511297,0.082329515,0,0,0,0,0.144529682,0.233207013,0,0,-0.10763286,0.1734888,0,0,0
-0.07065145,0,0,0,0,0,0,0,0.160004712,0,-0.042159692,0,0,0,0,0,0,0,0,0.143757464,0,0,0,0,0.541327606
0,-0.099718465,0,0,0,0,0,0,0.208388135,0,0,0,0,0,0,0,0,0,0,0.075804541,0.087031728,0,0,0.541327606,0
